



,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:04:03Z,72675741,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:05:02Z,70181504,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:06:02Z,68685312,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:07:01Z,68970902,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:08:02Z,70103954,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.230443774Z,2025-07-30T14:10:00.230443774Z,2025-07-30T14:09:02Z,68536806,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics

,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:01:03Z,68081282,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:02:03Z,67817273,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:03:02Z,71590367,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:04:03Z,72675741,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:05:02Z,70181504,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:06:02Z,68685312,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:07:01Z,68970902,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:08:02Z,70103954,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:00.995303989Z,2025-07-30T14:10:00.995303989Z,2025-07-30T14:09:02Z,68536806,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics

,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:01:03Z,68081282,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:02:03Z,67817273,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:03:02Z,71590367,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:04:03Z,72675741,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:05:02Z,70181504,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:06:02Z,68685312,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:07:01Z,68970902,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:08:02Z,70103954,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:01.910691136Z,2025-07-30T14:10:01.910691136Z,2025-07-30T14:09:02Z,68536806,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics

,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:01:03Z,68081282,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:02:03Z,67817273,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:03:02Z,71590367,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:04:03Z,72675741,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:05:02Z,70181504,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:06:02Z,68685312,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:07:01Z,68970902,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:08:02Z,70103954,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:02.679537629Z,2025-07-30T14:10:02.679537629Z,2025-07-30T14:09:02Z,68536806,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics

,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:01:03Z,68081282,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:02:03Z,67817273,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:03:02Z,71590367,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:04:03Z,72675741,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:05:02Z,70181504,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:06:02Z,68685312,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:07:01Z,68970902,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:08:02Z,70103954,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics
,_result,0,2025-07-30T14:00:03.504004852Z,2025-07-30T14:10:03.504004852Z,2025-07-30T14:09:02Z,68536806,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node5.av.it.pt:8080/metrics

